sell_flag,total_price,title,position_icon,unit_price,deal_house_txt,deal_data,house_info,page_url
1,183,怡翠花园紫荆苑北 3室2厅 118平米,中楼层(共15层) 2005年建塔楼,15509,"房本满五年,距广佛线南桂路613米",2016.12.20,南 | 简装,http://fs.lianjia.com/chengjiao/FS0002191838.html
1,125,怡景丽苑 3室2厅 108平米,中楼层(共10层) 2004年建塔楼,11575,房本满五年,2016.12.20,东南 | 精装,http://fs.lianjia.com/chengjiao/FS0002197528.html
1,423,保利花园三期 4室2厅 187平米,中楼层(共26层) 2009年建塔楼,22621,"房本满两年,距广佛线千灯湖623米",2016.12.20,西南 | 精装,http://fs.lianjia.com/chengjiao/FS0002174750.html
1,73.6,兴业新村兴桂苑 2室2厅 74.2平米,中楼层(共8层) 2002年建塔楼,9920,房本满五年,2016.12.20,南 | 简装,http://fs.lianjia.com/chengjiao/FS0002194531.html
1,68,红棉雅苑 1室1厅 55.68平米,高楼层(共7层) 2006年建塔楼,12213,距广佛线祖庙998米,2016.12.20,暂无数据 | 精装,http://fs.lianjia.com/chengjiao/FS0002058013.html
1,81,恒福新城 2室1厅 60.27平米,低楼层(共22层) 2010年建塔楼,13440,房本满两年,2016.12.19,东北 | 精装,http://fs.lianjia.com/chengjiao/FS0002292863.html
1,149,怡景丽苑 3室2厅 117平米,中楼层(共11层) 2004年建塔楼,12736,房本满五年,2016.12.19,东南 | 简装,http://fs.lianjia.com/chengjiao/FS0002064622.html
1,49,威斯广场美钻轩 2室1厅 75平米,高楼层(共12层) 2005年建塔楼,6534,房本满两年,2016.12.19,北 | 简装,http://fs.lianjia.com/chengjiao/FS0002194584.html
1,144.5,富丰新城 3室2厅 89平米,中楼层(共30层) 2012年建塔楼,16236,,2016.12.19,东 | 精装,http://fs.lianjia.com/chengjiao/FS0002268963.html
1,105,嘉信城市花园 3室2厅 113平米,低楼层(共21层) 2011年建塔楼,9293,房本满五年,2016.12.19,东北 | 精装,http://fs.lianjia.com/chengjiao/FS0002275765.html
1,90.5,富丰新城 2室1厅 58平米,中楼层(共32层) 2012年建塔楼,15604,,2016.12.19,东南 | 精装,http://fs.lianjia.com/chengjiao/FS0002194564.html
1,73,玫瑰园 2室2厅 89.06平米,低楼层(共9层) 2001年建塔楼,8197,,2016.12.19,北 | 简装,http://fs.lianjia.com/chengjiao/FS0002203106.html
1,135,中海锦城国际花园3街 2室2厅 72.07平米,中楼层(共11层) 2015年建塔楼,18732,,2016.12.19,东南 | 精装,http://fs.lianjia.com/chengjiao/FS0002189019.html
1,45,基业花园 2室2厅 71平米,高楼层(共8层) 2005年建板塔结合,6339,房本满五年,2016.12.19,南 | 简装,http://fs.lianjia.com/chengjiao/FS0002187665.html
1,128,保利西雅图 2室2厅 79.04平米,低楼层(共32层) 2016年建板塔结合,16195,,2016.12.19,南 | 精装,http://fs.lianjia.com/chengjiao/FS0002243711.html
1,84.8,罗湖花园 4室2厅 135.5平米,中楼层(共8层) 2003年建塔楼,6259,房本满五年,2016.12.17,南 | 简装,http://fs.lianjia.com/chengjiao/FS0002284530.html
1,80,季华花园绿景居（六期） 3室2厅 109.95平米,中楼层(共7层) 塔楼,7277,距广佛线季华园616米,2016.12.17,南 | 其他,http://fs.lianjia.com/chengjiao/FS0002289219.html
1,80,福盛花园 3室1厅 100平米,中楼层(共8层) 1997年建塔楼,8000,房本满五年,2016.12.17,南 | 简装,http://fs.lianjia.com/chengjiao/FS0002143878.html
1,67.8,罗湖花园 3室2厅 104平米,中楼层(共8层) 2003年建塔楼,6520,,2016.12.17,南 | 简装,http://fs.lianjia.com/chengjiao/FS0002298810.html
1,68,玫瑰园玫瑰街1号(北区） 3室1厅 83.16平米,中楼层(共8层) 2001年建塔楼,8178,,2016.12.17,南 北 | 其他,http://fs.lianjia.com/chengjiao/FS0002299705.html
1,132,风度花园 3室2厅 126平米,中楼层(共13层) 2014年建塔楼,10477,,2016.12.17,北 | 其他,http://fs.lianjia.com/chengjiao/FS0002133784.html
1,52,中南花园华桂居 1室1厅 38平米,中楼层(共8层) 2002年建塔楼,13685,房本满五年,2016.12.17,北 | 简装,http://fs.lianjia.com/chengjiao/FS0002191960.html
1,15,河畔花园 1室0厅 20平米,高楼层(共9层) 1997年建塔楼,7500,房本满五年,2016.12.17,东 | 简装,http://fs.lianjia.com/chengjiao/FS0002041242.html
1,75,华侨花园 2室1厅 87平米,中楼层(共8层) 1999年建塔楼,8621,房本满五年,2016.12.17,西南 | 简装,http://fs.lianjia.com/chengjiao/FS0002295720.html
1,185,碧水湾 3室2厅 131平米,高楼层(共15层) 2007年建塔楼,14123,房本满五年,2016.12.16,南 | 精装,http://fs.lianjia.com/chengjiao/FS0002254785.html
1,80,乐晴居 3室2厅 100平米,中楼层(共7层) 2008年建板塔结合,8000,,2016.12.16,南 | 其他,http://fs.lianjia.com/chengjiao/FS0002075025.html
1,65,时代倾城 2室1厅 67.77平米,低楼层(共6层) 2016年建板楼,9592,,2016.12.16,南 | 精装,http://fs.lianjia.com/chengjiao/FS0002279572.html
1,41.5,罗湖花园 3室2厅 68平米,中楼层(共8层) 2003年建塔楼,6103,房本满五年,2016.12.16,东 | 简装,http://fs.lianjia.com/chengjiao/FS0002284722.html
1,47,罗村花苑 3室2厅 79平米,高楼层(共7层) 2000年建塔楼,5950,房本满五年,2016.12.16,东 | 简装,http://fs.lianjia.com/chengjiao/FS0002296695.html
1,66.5,湖畔湾豪庭三期美景阁 2室2厅 78.98平米,中楼层(共8层) 2006年建塔楼,8413,房本满两年,2016.12.16,东 | 简装,http://fs.lianjia.com/chengjiao/FS0002234887.html
