sell_flag,total_price,house_id,title,position_icon,unit_price,deal_house_txt,deal_data,house_info,house_place,page_url
1,111.8,FS0001973333,购物中心 3室2厅 165平米,中楼层(共24层) 1998年建塔楼,6776,,20161231,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0001973333.html
1,70,FS0002315927,中恒海晖城 4室2厅 119平米,低楼层(共23层) 2012年建塔楼,5883,房本满两年,20161231,南 北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002315927.html
1,105,FS0002318423,珠江罗马新都 3室2厅 89.69平米,中楼层(共16层) 2016年建塔楼,11707,,20161231,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002318423.html
1,96,FS0002319571,珠江罗马新都 3室2厅 89.64平米,低楼层(共16层) 2016年建塔楼,10710,房本满两年,20161231,南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002319571.html
1,54,FS0002080667,新世界名门天下 1室1厅 58平米,中楼层(共21层) 2012年建板塔结合,9311,,20161231,暂无数据 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002080667.html
1,23,FS0002193677,紫荆南苑 2室2厅 40平米,高楼层(共7层) 2005年建板塔结合,5750,,20161231,暂无数据 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002193677.html
1,170,FS0001769049,名苑小区二区 4室2厅 163.96平米,低楼层(共16层) 1995年建塔楼,10369,,20161230,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0001769049.html
1,118,FS0002308693,江南名居泓苑 2室2厅 90平米,中楼层(共16层) 2006年建塔楼,13112,房本满五年,20161230,北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002308693.html
1,43,FS0002300264,金沙新城二街3号 2室1厅 68平米,中楼层(共7层) 2001年建塔楼,6324,房本满五年,20161230,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002300264.html
1,180,FS0002140609,禅城绿地中心 4室2厅 128平米,中楼层(共33层) 2015年建塔楼,14063,,20161230,南 北 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002140609.html
1,73,FS0002319508,中恒海晖城 3室2厅 88平米,高楼层(共16层) 2012年建塔楼,8296,,20161230,北 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002319508.html
1,60,FS0002186850,江南名居熙苑 1室1厅 49平米,高楼层(共22层) 2006年建塔楼,12245,房本满两年,20161230,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002186850.html
1,100,FS0002303863,朗晴轩 2室1厅 93.79平米,中楼层(共10层) 塔楼,10663,,20161229,北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002303863.html
1,33.8,FS0002188911,罗湖花园 2室1厅 67平米,高楼层(共8层) 2003年建塔楼,5045,,20161229,暂无数据 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002188911.html
1,153,FS0002315406,恒福新城 3室2厅 111平米,低楼层(共22层) 2010年建塔楼,13784,房本满五年,20161229,西南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002315406.html
1,118.8,FS0002234203,合生君景湾帝泓庭 3室2厅 91.59平米,中楼层(共18层) 2008年建塔楼,12971,房本满两年,20161229,东北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002234203.html
1,28,FS0002242147,东方广场蓝宝石城 1室0厅 24.15平米,高楼层(共17层) 2001年建塔楼,11595,房本满五年,20161229,东 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002242147.html
1,48,FS0002317604,明珠广场 2室1厅 54平米,高楼层(共8层) 1997年建塔楼,8889,房本满五年,20161229,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002317604.html
1,51,FS0002193952,海棠村 2室2厅 82平米,中楼层(共8层) 塔楼,6220,,20161229,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002193952.html
1,60.6,FS0002281464,中南花园明湖居 1室0厅 32.5平米,中楼层(共11层) 2002年建塔楼,18647,房本满五年,20161228,北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002281464.html
1,130,FS0002315979,金碧花园 2室2厅 121平米,高楼层(共12层) 2003年建塔楼,10744,,20161228,南 北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002315979.html
1,288,FS0002248641,江南名居荣苑 4室2厅 187平米,中楼层(共22层) 2006年建塔楼,15402,房本满五年,20161228,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002248641.html
1,192,FS0002318204,丽日玫瑰四期三区 3室2厅 150平米,低楼层(共29层) 2005年建塔楼,12800,距广佛线魁奇路477米,20161228,南 北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002318204.html
1,290,FS0002196846,海景蓝湾 4室2厅 182平米,高楼层(共28层) 2011年建塔楼,15935,房本满两年,20161228,南 北 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002196846.html
1,223,FS0002195106,碧桂园城市花园南区 3室2厅 147平米,中楼层(共32层) 2013年建板塔结合,15171,房本满五年,20161228,南 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002195106.html
1,60,FS0001997856,江南名居熙苑 1室0厅 48平米,中楼层(共22层) 2006年建塔楼,12500,房本满五年,20161228,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0001997856.html
1,85,FS0002318502,恒福花园 2室1厅 68.65平米,中楼层(共8层) 2002年建塔楼,12382,,20161228,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002318502.html
1,27,FS0002252510,金沙新城一街二号 2室1厅 55.23平米,高楼层(共7层) 2001年建塔楼,4889,房本满五年,20161227,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002252510.html
1,127,FS0002280960,东江花苑 3室2厅 108平米,中楼层(共10层) 2009年建塔楼,11760,,20161227,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002280960.html
1,236,FS0002186456,怡翠花园翠竹苑 4室2厅 175.5平米,低楼层(共12层) 2005年建塔楼,13448,房本满五年距广佛线南桂路656米,20161227,南 北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002186456.html
1,78,FS0002249026,罗湖花园 4室2厅 136平米,中楼层(共8层) 2003年建塔楼,5736,房本满五年,20161207,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002249026.html
1,74.4,FS0002189341,鸿业城市花园 1室1厅 64平米,中楼层(共23层) 2011年建塔楼,11622,房本满五年,20161207,北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002189341.html
1,68,FS0002187761,中恒海晖城 3室2厅 90平米,高楼层(共17层) 2012年建塔楼,7556,,20161207,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002187761.html
1,41.8,FS0002191999,凯德天伦世嘉 1室1厅 37平米,高楼层(共15层) 2012年建塔楼,11298,房本满两年,20161207,北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002191999.html
1,158,FS0002226322,保利西雅图 3室2厅 97平米,高楼层(共32层) 2016年建塔楼,16289,,20161207,东北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002226322.html
1,240,FS0002264168,江南名居御苑 4室2厅 160.28平米,中楼层(共23层) 2006年建塔楼,14974,房本满五年,20161206,东 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002264168.html
1,60.8,FS0001861436,翠湖绿洲花园 2室1厅 91平米,低楼层(共11层) 2010年建塔楼,6682,,20161206,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0001861436.html
1,61,FS0002187330,桂南名都 1室1厅 43平米,中楼层(共28层) 2007年建塔楼,14187,房本满两年距广佛线南桂路99米,20161206,南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002187330.html
1,43.8,FS0002239576,罗湖花园 2室1厅 78平米,高楼层(共8层) 2003年建塔楼,5616,房本满五年,20161206,暂无数据 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002239576.html
1,90,FS0002252245,风度花园 3室2厅 111平米,低楼层(共14层) 2014年建塔楼,8109,,20161205,北 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002252245.html
1,298,FS0002174130,中海万锦豪园金楠街 3室2厅 148.66平米,低楼层(共26层) 2005年建塔楼,20046,房本满五年距广佛线千灯湖571米,20161205,西南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002174130.html
1,26.5,FS0002193216,金宇名都 1室1厅 26平米,高楼层(共18层) 2009年建平房,10193,,20161205,东北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002193216.html
1,87,FS0002272443,钻石苑 2室2厅 92.5平米,低楼层(共15层) 1999年建塔楼,9406,房本满五年距广佛线祖庙258米,20161204,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002272443.html
1,115,FS0002274511,时代倾城 3室2厅 130.33平米,低楼层(共15层) 2016年建塔楼,8824,,20161204,北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002274511.html
1,57.5,FS0002191759,基业花园 3室2厅 69平米,高楼层(共4层) 塔楼,8334,房本满两年,20161204,南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002191759.html
1,80,FS0002186045,荟俊苑 3室2厅 112.67平米,低楼层(共7层) 塔楼,7101,房本满五年,20161203,东北 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002186045.html
1,136,FS0002191468,碧桂园城市花园南区 3室2厅 117平米,低楼层(共29层) 2013年建板塔结合,11624,房本满两年,20161203,东 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002191468.html
1,36,FS0002246518,风度花园 1室1厅 47.91平米,低楼层(共14层) 2014年建塔楼,7515,,20161202,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002246518.html
1,101,FS0002189424,侨都花园 3室2厅 124平米,低楼层(共10层) 1999年建塔楼,8146,距广佛线季华园947米,20161202,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002189424.html
1,80.6,FS0002188325,乐然水畔 3室1厅 92.82平米,中楼层(共7层) 2010年建板塔结合,8681,,20161202,东北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002188325.html
1,21,FS0002191938,丽苑人家 1室1厅 33.58平米,低楼层(共7层) 2001年建板塔结合,6254,,20161130,南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002191938.html
1,150,FS0002262587,怡翠玫瑰园 3室2厅 120平米,中楼层(共18层) 2004年建塔楼,12500,房本满五年,20161130,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002262587.html
1,33,FS0002188295,唐园东一街 2室2厅 64.6平米,高楼层(共9层) 1996年建塔楼,5109,距广佛线同济路341米,20161130,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002188295.html
1,138.5,FS0002145032,富丰新城 3室2厅 89平米,高楼层(共30层) 2012年建塔楼,15562,,20161130,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002145032.html
1,39.5,FS0002234769,锦隆花园 1室0厅 49.36平米,中楼层(共11层) 2012年建塔楼,8003,房本满五年距广佛线普君北路928米,20161130,南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002234769.html
1,28,FS0002242170,东方广场蓝宝石城 1室0厅 24.15平米,低楼层(共17层) 2001年建塔楼,11595,房本满五年,20161130,东 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002242170.html
1,74,FS0002247256,惠景城小区惠景三街 3室1厅 91.85平米,中楼层(共8层) 1998年建塔楼,8057,房本满五年距广佛线魁奇路664米,20161130,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002247256.html
1,39,FS0002186919,凯德天伦世嘉 1室1厅 37平米,低楼层(共15层) 2012年建塔楼,10541,,20161130,北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002186919.html
1,82,FS0002269257,名苑华庭 2室2厅 83平米,中楼层(共17层) 2003年建塔楼,9880,距广佛线祖庙1076米,20161130,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002269257.html
1,92,FS0002263013,珠江半岛花园 2室1厅 74.42平米,中楼层(共8层) 2000年建塔楼,12363,房本满五年,20161130,西 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002263013.html
1,72,FS0002262345,玫瑰园 3室2厅 81.94平米,中楼层(共8层) 2001年建塔楼,8787,房本满两年,20170106,南 北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002262345.html
1,96,FS0001819138,南浦新村 3室2厅 115平米,高楼层(共9层) 1998年建塔楼,8348,距广佛线普君北路1046米,20170106,南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0001819138.html
1,184,FS0002234342,普君新城普祥路8号 3室2厅 130平米,高楼层(共29层) 2010年建塔楼,14154,距广佛线普君北路334米,20170106,东南 | 精装,naihai,http://fs.lianjia.com/chengjiao/FS0002234342.html
1,144,FS0002318428,依岸康堤花园 3室2厅 89平米,高楼层(共32层) 塔楼,16180,,20170106,北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002318428.html
1,53,FS0002327773,长信东海银湾 1室0厅 38.66平米,低楼层(共30层) 2015年建塔楼,13710,,20170105,西 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002327773.html
1,210,FS0002197868,富丰新城 3室2厅 137平米,高楼层(共32层) 2012年建塔楼,15329,,20170105,南 北 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002197868.html
1,98,FS0002166271,逸彩美寓 2室2厅 95平米,高楼层(共17层) 2010年建塔楼,10316,房本满五年距广佛线祖庙570米,20170105,南 北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002166271.html
1,33,FS0002300499,惠景城小区惠景二街 2室1厅 52平米,高楼层(共8层) 1998年建塔楼,6347,房本满五年距广佛线魁奇路868米,20170105,南 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002300499.html
1,70,FS0002102127,绿茵花苑 2室2厅 98平米,高楼层(共5层) 2004年建板楼,7143,距广佛线季华园574米,20170105,东 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002102127.html
1,115,FS0002160496,中恒海晖城 3室2厅 138平米,低楼层(共25层) 2012年建塔楼,8334,,20170105,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002160496.html
1,48,FS0002196579,中恒海晖城 2室2厅 74.41平米,低楼层(共16层) 2012年建塔楼,6451,,20170105,南 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002196579.html
1,36,FS0002197967,汇博星辰 1室0厅 40平米,中楼层(共19层) 2007年建塔楼,9000,房本满五年距广佛线同济路579米,20170105,东 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002197967.html
1,55,FS0002194301,新业楼 3室2厅 128平米,高楼层(共7层) 1993年建板塔结合,4297,,20170104,暂无数据 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002194301.html
1,75,FS0002324810,禅城名雅花园 3室2厅 91.11平米,高楼层(共8层) 塔楼,8232,,20170104,南 北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002324810.html
1,67.2,FS0002323258,威斯广场旭景豪庭 3室2厅 114平米,高楼层(共9层) 2005年建塔楼,5895,房本满五年,20170104,北 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002323258.html
1,400,FS0002193915,保利壹号公馆 4室2厅 280平米,高楼层(共40层) 2009年建塔楼,14286,房本满五年距广佛线千灯湖854米,20170104,南 | 毛坯,naihai,http://fs.lianjia.com/chengjiao/FS0002193915.html
1,98,FS0001640404,禅城恒福花园8号楼 3室2厅 103平米,中楼层(共8层) 2000年建塔楼,9515,,20170104,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0001640404.html
1,170,FS0002093637,南海颐景园烟雨苑 2室2厅 109平米,中楼层(共29层) 2007年建塔楼,15597,距广佛线南桂路962米,20170103,南 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002093637.html
1,82.8,FS0002325762,玫瑰园金华路7号（七期） 2室2厅 97平米,中楼层(共7层) 2001年建塔楼,8537,房本满五年,20170103,南 北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002325762.html
1,95,FS0002159034,嘉信城市花园帝苑 2室1厅 92.43平米,中楼层(共18层) 2011年建塔楼,10279,房本满两年,20170103,东北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002159034.html
1,105,FS0002259418,恒福新城 2室2厅 77.04平米,高楼层(共22层) 2010年建塔楼,13630,房本满五年,20161231,西南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002259418.html
1,66,FS0002263444,金威郦都 2室2厅 83平米,低楼层(共21层) 2012年建塔楼,7952,房本满两年,20161231,北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002263444.html
1,88,FS0002292727,玫瑰园金华路7号（七期） 2室2厅 98平米,中楼层(共7层) 2001年建塔楼,8980,房本满五年,20161231,南 北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002292727.html
1,20,FS0002315971,中恒海晖城 1室1厅 35.87平米,低楼层(共23层) 2012年建塔楼,5576,房本满两年,20161231,南 北 | 其他,naihai,http://fs.lianjia.com/chengjiao/FS0002315971.html
1,28,FS0002322205,中南花园 1室0厅 31平米,高楼层(共8层) 2002年建塔楼,9033,房本满五年,20161231,北 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002322205.html
1,180,FS0002182857,怡翠玫瑰园 3室2厅 135平米,低楼层(共18层) 2004年建塔楼,13334,房本满五年,20161231,南 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002182857.html
1,115,FS0002316607,黄岐名雅花园 2室1厅 83平米,中楼层(共13层) 2000年建塔楼,13856,房本满五年,20161231,西 | 简装,naihai,http://fs.lianjia.com/chengjiao/FS0002316607.html
